model,season_type,ENSO_phase,station,index,R_RAW_pct,R_QDM_pct,PE_ENSO_pct
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351004,Rx1day,-23.07,11.87,-151.45
CanESM5,HOT_DRY,EL_NINO,351004,Rx1day,-26.75,38.91,-245.46
CESM2,HOT_DRY,EL_NINO,351004,Rx1day,11.75,213.24,1714.81
EC-Earth3,HOT_DRY,EL_NINO,351004,Rx1day,23.27,38.07,63.6
FGOALS-g3,HOT_DRY,EL_NINO,351004,Rx1day,-9.9,36.76,-471.31
MIROC6,HOT_DRY,EL_NINO,351004,Rx1day,111.83,-25.51,-122.81
MRI-ESM2-0,HOT_DRY,EL_NINO,351004,Rx1day,-24.18,45.51,-288.21
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351004,Rx5day,-18.92,-40.37,113.37
CanESM5,HOT_DRY,EL_NINO,351004,Rx5day,-31.47,95.36,-403.02
CESM2,HOT_DRY,EL_NINO,351004,Rx5day,20.58,197.29,858.65
EC-Earth3,HOT_DRY,EL_NINO,351004,Rx5day,2.1,26.02,1139.05
FGOALS-g3,HOT_DRY,EL_NINO,351004,Rx5day,-11.92,38.93,-426.59
MIROC6,HOT_DRY,EL_NINO,351004,Rx5day,107.18,-24.48,-122.84
MRI-ESM2-0,HOT_DRY,EL_NINO,351004,Rx5day,-27.27,31.72,-216.32
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351004,SDII,-9.06,26.83,-396.14
CanESM5,HOT_DRY,EL_NINO,351004,SDII,-25.39,35.11,-238.28
CESM2,HOT_DRY,EL_NINO,351004,SDII,11.69,52.08,345.51
EC-Earth3,HOT_DRY,EL_NINO,351004,SDII,6.55,40.41,516.95
FGOALS-g3,HOT_DRY,EL_NINO,351004,SDII,-25.56,-17.96,-29.73
MIROC6,HOT_DRY,EL_NINO,351004,SDII,54.99,-23.71,-143.12
MRI-ESM2-0,HOT_DRY,EL_NINO,351004,SDII,-15.35,73.54,-579.09
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351004,wet_day_freq,-14.41,-48.29,235.11
